State Name,DISTRICT NAME,Language
TAMIL NADU,KANNIYAKUMARI,Tamil
TAMIL NADU,KARUR,Tamil
TAMIL NADU,KRISHNAGIRI,Tamil
TAMIL NADU,MADURAI,Tamil
TAMIL NADU,NAGAPATTINAM,Tamil
TAMIL NADU,NAMAKKAL,Tamil
TAMIL NADU,PERAMBALUR,Tamil
TAMIL NADU,PUDUKKOTTAI,Tamil
TAMIL NADU,RAMANATHAPURAM,Tamil
TAMIL NADU,SALEM,Tamil
TAMIL NADU,SIVAGANGA,Tamil
TAMIL NADU,THANJAVUR,Tamil
TAMIL NADU,THE NILGIRIS,Tamil
TAMIL NADU,THENI,Tamil
TAMIL NADU,THIRUVALLUR,Tamil
TAMIL NADU,THIRUVARUR,Tamil
TAMIL NADU,THOOTHUKKUDI,Tamil
TAMIL NADU,TIRUCHIRAPPALLI,Tamil
TAMIL NADU,TIRUNELVELI,Tamil
TAMIL NADU,TIRUPPUR,Tamil
TAMIL NADU,TIRUVANNAMALAI,Tamil
TAMIL NADU,VELLORE,Tamil
TAMIL NADU,VILUPPURAM,Tamil
TAMIL NADU,VIRUDHUNAGAR,Tamil
TELANGANA,ADILABAD,Telugu
TELANGANA,BHADRADRI,Telugu
TELANGANA,HYDERABAD,Telugu
TELANGANA,JAGTIAL,Telugu
TELANGANA,JANGAON,Telugu
TELANGANA,JAYASHANKAR,Telugu
TELANGANA,JOGULAMBA,Telugu
TELANGANA,KAMAREDDY,Telugu
TELANGANA,KARIMNAGAR,Telugu
TELANGANA,KHAMMAM,Telugu
TELANGANA,KOMARAM BHEEM,Telugu
TELANGANA,MAHABUBABAD,Telugu
TELANGANA,MAHBUBNAGAR,Telugu
TELANGANA,MANCHERIAL,Telugu
TELANGANA,MEDAK,Telugu
TELANGANA,MEDCHAL-MALKAJGIRI,Telugu
TELANGANA,NAGARKURNOOL,Telugu
TELANGANA,NALGONDA,Telugu
TELANGANA,NIRMAL,Telugu
TELANGANA,NIZAMABAD,Telugu
TELANGANA,PEDDAPALLI,Telugu
TELANGANA,RAJANNA,Telugu
TELANGANA,RANGAREDDY,Telugu
TELANGANA,SANGAREDDY,Telugu
TELANGANA,SIDDIPET,Telugu
TELANGANA,SURYAPET,Telugu
TELANGANA,VIKARABAD,Telugu
TELANGANA,WANAPARTHY,Telugu
TELANGANA,WARANGAL RURAL,Telugu
TELANGANA,WARANGAL URBAN,Telugu
TELANGANA,YADADRI,Telugu
TRIPURA,DHALAI,Bengali
TRIPURA,GOMATI,Bengali
TRIPURA,KHOWAI,Bengali
TRIPURA,NORTH TRIPURA,Bengali
TRIPURA,SEPAHIJALA,Bengali
TRIPURA,SOUTH TRIPURA,Bengali
TRIPURA,UNAKOTI,Bengali
TRIPURA,WEST TRIPURA,Bengali
UTTAR PRADESH,AGRA,Hindi
UTTAR PRADESH,ALIGARH,Hindi
UTTAR PRADESH,ALLAHABAD,Hindi
UTTAR PRADESH,AMBEDKAR NAGAR,Hindi
UTTAR PRADESH,AMETHI,Hindi
UTTAR PRADESH,AMROHA,Hindi
UTTAR PRADESH,AURAIYA,Hindi
UTTAR PRADESH,AZAMGARH,Hindi
UTTAR PRADESH,BAGHPAT,Hindi
UTTAR PRADESH,BAHRAICH,Hindi
UTTAR PRADESH,BALLIA,Hindi
UTTAR PRADESH,BALRAMPUR,Hindi
UTTAR PRADESH,BANDA,Hindi
UTTAR PRADESH,BARA BANKI,Hindi
UTTAR PRADESH,BAREILLY,Hindi
UTTAR PRADESH,BASTI,Hindi
UTTAR PRADESH,BHADOHI,Hindi
UTTAR PRADESH,BIJNOR,Hindi
UTTAR PRADESH,BUDAUN,Hindi
UTTAR PRADESH,BULANDSHAHR,Hindi
UTTAR PRADESH,CHANDAULI,Hindi
UTTAR PRADESH,CHITRAKOOT,Hindi
UTTAR PRADESH,DEORIA,Hindi
UTTAR PRADESH,ETAH,Hindi
UTTAR PRADESH,ETAWAH,Hindi
UTTAR PRADESH,FAIZABAD,Hindi
UTTAR PRADESH,FARRUKHABAD,Hindi
UTTAR PRADESH,FATEHPUR,Hindi
UTTAR PRADESH,FIROZABAD,Hindi
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Hindi
UTTAR PRADESH,GHAZIABAD,Hindi
UTTAR PRADESH,GHAZIPUR,Hindi
